epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,563.344,0.4623,2.576,0.37243,0.2346,0.12119,0.02001,0.01237,0.73483,1.39016,1.56876,0.0667818,3.32514e-05,3.32514e-05
2,1108.73,0.27025,1.71814,0.2036,0.47296,0.12128,0.06727,0.04891,0.28234,1.91415,0.34689,0.0334792,6.3948e-05,6.3948e-05
3,1653.87,0.3114,0.89524,0.25857,0.33891,0.51094,0.34965,0.24103,0.32795,1.441,0.4479,0.000173905,9.20046e-05,9.20046e-05
4,2198.24,0.26368,0.69922,0.23108,0.65644,0.47991,0.46331,0.32024,0.32983,1.4511,0.45193,8.812e-05,8.812e-05,8.812e-05
5,2742.9,0.24947,0.61465,0.22133,0.74565,0.52429,0.54168,0.37881,0.32053,1.15341,0.45256,8.416e-05,8.416e-05,8.416e-05
6,3286.81,0.23072,0.55128,0.20727,0.65315,0.61217,0.60139,0.42388,0.31089,1.02924,0.43833,8.02e-05,8.02e-05,8.02e-05
7,3830.5,0.22209,0.51785,0.19925,0.72705,0.60527,0.60144,0.42795,0.32478,0.98636,0.47161,7.624e-05,7.624e-05,7.624e-05
8,4374.71,0.22156,0.49766,0.19894,0.68732,0.62893,0.62642,0.44251,0.30922,0.95028,0.43022,7.228e-05,7.228e-05,7.228e-05
9,4919.24,0.20927,0.48115,0.18734,0.68751,0.68605,0.68045,0.48353,0.31357,0.86779,0.46317,6.832e-05,6.832e-05,6.832e-05
10,5464.07,0.20771,0.44983,0.18602,0.72721,0.70516,0.70865,0.50268,0.30458,0.84324,0.43211,6.436e-05,6.436e-05,6.436e-05
11,6008.51,0.19868,0.44567,0.17861,0.73649,0.70423,0.70948,0.50226,0.31073,0.84844,0.46906,6.04e-05,6.04e-05,6.04e-05
12,6551.38,0.19801,0.4325,0.1777,0.73198,0.73668,0.72891,0.51893,0.31273,0.79634,0.46213,5.644e-05,5.644e-05,5.644e-05
13,7095.38,0.19393,0.42419,0.17098,0.76828,0.73984,0.74804,0.54149,0.2929,0.78978,0.42337,5.248e-05,5.248e-05,5.248e-05
14,7639.49,0.1915,0.4116,0.16962,0.78694,0.74927,0.7627,0.5478,0.30386,0.73696,0.4579,4.852e-05,4.852e-05,4.852e-05
15,8183.54,0.18754,0.40217,0.167,0.7995,0.74659,0.75969,0.5543,0.29246,0.73639,0.42753,4.456e-05,4.456e-05,4.456e-05
16,8732.42,0.29276,0.75679,0.33485,0.78354,0.76948,0.79383,0.58133,0.29527,0.69081,0.44,4.06e-05,4.06e-05,4.06e-05
17,9280.25,0.28407,0.66833,0.32703,0.84884,0.78425,0.83537,0.61707,0.28171,0.63337,0.40711,3.664e-05,3.664e-05,3.664e-05
18,9825.32,0.27494,0.63656,0.31055,0.83964,0.81555,0.84267,0.62296,0.28254,0.60599,0.41862,3.268e-05,3.268e-05,3.268e-05
19,10370.1,0.27046,0.59641,0.30478,0.84201,0.82777,0.85642,0.63717,0.27853,0.59888,0.41142,2.872e-05,2.872e-05,2.872e-05
20,10915.1,0.26852,0.5703,0.30608,0.87625,0.82625,0.86405,0.64359,0.27887,0.56933,0.41603,2.476e-05,2.476e-05,2.476e-05
21,11459.9,0.26075,0.55922,0.29351,0.8745,0.8454,0.88111,0.65917,0.27586,0.54902,0.40828,2.08e-05,2.08e-05,2.08e-05
22,12004.4,0.25837,0.53951,0.28986,0.89923,0.84371,0.88471,0.66406,0.27335,0.54136,0.40119,1.684e-05,1.684e-05,1.684e-05
23,12548.7,0.25706,0.52398,0.28781,0.90478,0.84148,0.88834,0.66276,0.27529,0.538,0.4103,1.288e-05,1.288e-05,1.288e-05
24,13092,0.25517,0.50629,0.28964,0.88378,0.85548,0.88766,0.66637,0.27302,0.54063,0.40438,8.92e-06,8.92e-06,8.92e-06
25,13636.9,0.25534,0.49292,0.28413,0.8942,0.85606,0.89516,0.67295,0.27129,0.52775,0.40187,4.96e-06,4.96e-06,4.96e-06
